"event_type" "event_count" "year" "month" "et" "eq" "Env_prec" "Env_temp" "Env_pet" "PAR_swe" "PAR_sm" "PAR_aet" "PAR_sm_perc" "PAR_lf_s" "PAR_lf_q" "PAR_gw_s" "PAR_gwr" "PAR_gw2gw" "PAR_gw2r" "PAR_river_s" "Ev_Qduration" "Ev_t2pd" "Ev_peak" "Ev_temp.cv" "Ev_Pmax.vol.ratio" "Ev_space_cv" "Ev_mean_RM_ant" "Ev_ant_sm" "Ev_space_cv_sm" "Ev_cov_SM_RM_ts_mean" "Ev_snow.cover.cov" "Ev_volumeP" "Ev_volumeR" "Ev_volumeM" "Ev_frozen.cover.cov" "event_type2" "preEv_1d_et" "preEv_1d_eq" "preEv_5d_et" "preEv_5d_eq" "preEv_10d_et" "preEv_10d_eq" "ID" "iparset" "AREA"
"1" 1 1 1993 3 -0.547908232118758 0.496386870233744 0.983557130680999 7.94341178989248 3.02715665707515 -0.916101031808687 -1.21987617544738 1.85880886972158 0.870681962887602 -0.0687551995461847 0.0134451139167811 -0.147889349903024 0.873076005680004 0.0107145349156447 0.0244513642088943 0.000712605652796519 19 7 1.71865329815303 0.333251991043032 0.15565852978642 0.488242633757524 0.683329163600348 0.978165886987168 0.0119487071899875 0.00764628248357052 1.0149185712109 31.1992082933748 0.587166250599731 30.6120420427751 0 "S&I" -1.69230769230781 0.213808408272143 -2.46153846153851 0.31632094605178 -2.99230769230769 0.435129139478776 105 4 758
"2" 2 1 1981 12 -4.44444444444444 -0.504175378892885 13.8906623476299 -1.50424261284523 0.567621148440302 2.73541050425551 2.58753753518744 0.450350916031139 1.66504707635628 -0.15193088916781 0.211454179565141 0.649684524050344 1.65626059442345 0.0104588181386313 0.0244560504417506 -0.00305051454702211 9 4 6.38539313984169 0.883254933501122 0.286119784245553 0.232203168252322 -0.00250484072429211 0.991900662872596 0.0125411503948841 0.00170539822747085 0.138224091995732 101.713260898628 101.059759521552 0.653501377076057 0.130558004540158 "S&I" 1 -0.0329408204004243 2.6 0.220834458738633 1.35 0.298850073405004 105 4 758
"3" 2 2 1982 12 -1.0142857142857 0.542698589644993 9.89313789611455 4.69361357558102 0.646330070439095 0.170921492858256 4.24973561997615 0.47955028844 1.41459705021738 0.287843207682429 0.100608014686814 0.344048963730036 1.39847896102168 0.0104843160396444 0.0260034571469654 0.00990065555951896 7 4 4.8080802110818 0.547583802242049 0.247606221496138 0.273422920882446 0.0868938725013572 0.982479781035069 0.0118168259676399 0.00275456415225161 0.213684748637796 65.091403423922 64.6600641059211 0.431339318000926 0.176986792458908 "S&I" -0.400000000000091 0.289007448267766 0.60571428571428 0.187717893996714 2.25999999999999 0.131652079829458 105 4 758
"4" 2 3 1983 12 -1.52363636363636 -0.361822582700671 5.32025145756476 -5.12066481457401 0.601359785281424 0.36951617175565 2.27871150899047 0.391420626495126 1.05778941397563 0.0282886984119874 0.0359803527206425 0.257375843940603 1.04274492498941 0.00746691841421646 0.0198745699427149 0.0013877107850897 20 4 6.03728548812665 0.881264810984963 0.341669529540682 1.03978544637249 -0.0938396130549232 0.792306625522221 0.0622704219899374 0.0120470532028655 -0.0075415898537312 117.532391401283 116.78991399157 0.742477409712243 0.267611834610946 "S&I" 0.199999999999918 -0.273147623366005 0.539999999999984 0.0375033005541055 0.858235294117641 0.0319963944638711 105 4 758
"5" 2 4 1989 8 -2.75551413482449 0.00962447170480886 5.04372971112134 1.73140533609769 0.756853372709743 0.0206058837957191 1.83924812397041 0.528551338728784 1.23198410393457 -0.0355626957381478 0.0450630715179469 0.413135836398654 1.22355137384661 0.00829978874412267 0.0199702177267952 0.000312570938139595 29 5 6.90481899736148 0.801456148427584 0.245903892405788 0.458682146536005 0.127193939070477 0.900053158938728 0.0470410329916862 0.00647350837043625 0.0847795764245157 141.53380788092 140.67005821321 0.863749667710789 0.100437469817198 "S&I" -0.833333333333485 -0.204560585522533 -0.166666666666697 0.0710678758949884 -0.0833333333333485 0.064469026751012 105 4 758
"6" 2 5 1994 12 0.106249999999987 0.192722670253882 3.69964500101785 2.83843158788817 0.637429190453542 0.0894040852336392 0.710290099235554 0.451583271290769 1.26056854282927 -0.0309324014837613 0.0367260689461638 0.255471302123439 1.25629395291107 0.0101785873222568 0.0244703672203615 0.000141524667306628 20 6 5.19596833773087 1.06964922061656 0.361751095322389 0.359578046164257 0.0228862043213703 0.963635164250799 0.020478354483799 0.00542487577306865 0 64.1061579955561 64.1061579955561 0 0.458001089347346 "S&I" 1 0.497589990389743 0.8 0.13305488987717 0.621428571428594 0.0934832658265392 105 4 758
"7" 3 1 1979 12 3.67355371900826 0.141978873059415 0.217489006328659 10.085498474229 1.10327529224719 -0.235947611338006 -1.74287806538799 0.778246139933624 1.24595078559569 -0.0884819785212289 0.00701023506559512 0.371264206321029 1.25162231313443 0.00913023908482506 0.0214338911901746 -0.00171880359455399 11 2 1.5828981530343 0.813459633413118 0.439289804590831 0.709372018210714 1.26476730404992 0.96896265460193 0.0174248862990768 0.0142235991897255 2.71601198726433 28.4490397625617 7.16839722594418 21.2806425366175 0 "S&I" -1 -0.120560501153354 -0.818181818181817 -0.185000175219876 -0.590909090909091 -0.214995906476909 105 4 758
"8" 3 2 1980 2 -0.153846153846154 0.0658478207379448 4.7706184251574 3.2534880867571 1.34932435984785 -1.01039317087219 -0.947044879224447 1.09375538358615 1.79200994912215 0.0347914748737311 0.106922548488156 0.699211098851079 1.79360644080338 0.0114215907958179 0.0263828210924956 -0.00485497512465218 26 6 23.6745118733509 0.723177445804322 0.165448154197105 0.214807014155489 0.0636080879038112 0.996452009860318 0.0101964007391769 0.00037668135483771 0.0722835818161494 177.388543084218 106.638868093644 70.749674990574 0 "S&I" 1 -0.118526556329616 1 -0.0626493010710312 0.8 -0.0395842310686406 105 4 758
"9" 3 3 1980 3 -1.58333333333334 0.598231036451461 2.56391098410118 3.64102448178796 1.75918055809012 -0.0179494950769605 -0.738837788614598 1.25504192233142 1.26848927045398 -0.0217035029564569 0.0223812161446185 0.119697508219967 1.26767759786254 0.0118719581490246 0.027737417965589 0.00218611435882369 6 2 1.40861635883905 0.975776623120401 0.493934221219701 0.303898926868921 0.196544885504862 0.987390599074653 0.00922000783546865 0.00269959978561643 0.181754630103163 23.6838077986081 20.8561806164656 2.8276271821425 0 "S&I" 1 0.728907715320833 0.866666666666667 0.714766998836537 0.700000000000002 0.641787975505035 105 4 758
"10" 3 4 1980 4 -0.963241106719369 0.503557314075107 4.48072573230326 8.8233621181136 3.38734450550791 1.3769664274892e-05 -0.60000162103141 2.37470305651066 1.24691647053617 -0.0440165817990496 0.0452943044409078 0.0956907710862405 1.24695316487196 0.0117823789122039 0.0279298064995939 8.43917853907949e-05 23 7 4.9248 0.79727742662757 0.220376137249347 0.572072700561503 0.464469254918769 0.978774045715231 0.014737140763443 0.00618026735218347 1.10844379042522 103.767153085546 84.3146950235878 19.4524580619581 0 "S&I" 0.799999999999996 0.542265308538202 0.839999999999999 0.537954399174156 0.36 0.545380566447659 105 4 758
