"event_type" "event_count" "year" "month" "et" "eq" "Env_prec" "Env_temp" "Env_pet" "PAR_swe" "PAR_sm" "PAR_aet" "PAR_sm_perc" "PAR_lf_s" "PAR_lf_q" "PAR_gw_s" "PAR_gwr" "PAR_gw2gw" "PAR_gw2r" "PAR_river_s" "Ev_Qduration" "Ev_t2pd" "Ev_peak" "Ev_temp.cv" "Ev_Pmax.vol.ratio" "Ev_space_cv" "Ev_mean_RM_ant" "Ev_ant_sm" "Ev_space_cv_sm" "Ev_cov_SM_RM_ts_mean" "Ev_snow.cover.cov" "Ev_volumeP" "Ev_volumeR" "Ev_volumeM" "Ev_frozen.cover.cov" "event_type2" "preEv_1d_et" "preEv_1d_eq" "preEv_5d_et" "preEv_5d_eq" "preEv_10d_et" "preEv_10d_eq" "ID" "iparset" "AREA"
"1" 1 1 1993 3 -3.81286549707602 0.369585824675056 0.983557130680999 7.94341178989248 3.02715665707515 -0.795031522352393 -1.5797750015113 2.25798569248302 0.426105020933075 0.0217892624299705 0.018168638533384 -0.00530780500535212 0.426105020933075 0.00560880264295997 0.0100010177552508 0.0218277848988937 19 7 1.71865329815303 0.333251991043032 0.15565852978642 0.488242633757524 0.683329163600348 0.978165886987168 0.0119487071899875 0.00764628248357052 1.0149185712109 31.1992082933748 0.587166250599731 30.6120420427751 0 "S&I" -6.18181818181805 0.193510257848529 -6.54545454545455 0.123919332566409 -7 0.166175099749119 105 6 758
"2" 2 1 1981 12 0.0999999999999939 0.0756970891857893 13.8906623476299 -1.50424261284523 0.567621148440302 4.79181658569766 1.65786644839945 0.488914876932522 0.474531174897732 0.00452181829833461 0.201594048878539 0.0666832116082498 0.474531174897732 0.00530339369505858 0.00947593946778535 0.0111389597478842 9 4 6.38539313984169 0.883254933501122 0.286119784245553 0.232203168252322 -0.00250484072429211 0.991900662872596 0.0125411503948841 0.00170539822747085 0.138224091995732 101.713260898628 101.059759521552 0.653501377076057 0.130558004540158 "S&I" 0.600000000000055 -0.0563105173907969 0.120000000000011 0.0132995878545782 -1.23999999999999 0.0558498659509058 105 6 758
"3" 2 2 1982 12 -5.15714285714286 -0.354429209152199 9.89313789611455 4.69361357558102 0.646330070439095 0.314340186675097 3.42042333928812 0.537559330586794 0.462915474736711 0.00713283787240642 0.154622556868507 0.0458650886342715 0.462915474736711 0.0053748827770002 0.0097224339921774 0.0897838398846093 7 4 4.8080802110818 0.547583802242049 0.247606221496138 0.273422920882446 0.0868938725013572 0.982479781035069 0.0118168259676399 0.00275456415225161 0.213684748637796 65.091403423922 64.6600641059211 0.431339318000926 0.176986792458908 "S&I" -1.4 0.0531406743441349 -0.844705882352942 0.0329180774860534 -1.83411764705879 0.107544803966265 105 6 758
"4" 2 3 1983 12 -1.20181818181818 -0.170945250007281 5.32025145756476 -5.12066481457401 0.601359785281424 0.363538265601654 3.03806055053433 0.397210761244946 0.393681419142418 0.0189632416300488 0.0326105304124347 0.0630212278701979 0.393681419142418 0.00420226732736429 0.0077283143013465 0.0561560574222461 20 4 6.03728548812665 0.881264810984963 0.341669529540682 1.03978544637249 -0.0938396130549232 0.792306625522221 0.0622704219899374 0.0120470532028655 -0.0075415898537312 117.532391401283 116.78991399157 0.742477409712243 0.267611834610946 "S&I" 0.400000000000027 0.240633841337998 0.580000000000005 0.0921928523737796 0.466470588235275 0.0318701950560428 105 6 758
"5" 2 4 1989 8 1.02068965517246 -0.153247863267717 5.04372971112134 1.73140533609769 0.756853372709743 0.0166772448611642 2.29169456863468 0.574721173121242 0.434088033701269 0.000800423710349181 0.0525730281223674 0.0585970663817566 0.434088033701269 0.00483749113946372 0.00876565362223118 0.0290582436148424 29 5 6.90481899736148 0.801456148427584 0.245903892405788 0.458682146536005 0.127193939070477 0.900053158938728 0.0470410329916862 0.00647350837043625 0.0847795764245157 141.53380788092 140.67005821321 0.863749667710789 0.100437469817198 "S&I" 2 -0.159653983501024 0.483333333333394 -0.168014773110658 -0.244444444444418 -0.207551343996873 105 6 758
"6" 2 5 1994 12 -0.129464285714279 0.0680855365301261 3.69964500101785 2.83843158788817 0.637429190453542 0.0828134745946497 0.944433417269897 0.506282335040853 0.448023364434285 0.00441456220508124 0.0508241668348473 0.040190955614998 0.448023364434285 0.00528969466110488 0.00947221592642256 0.0184059255918365 20 6 5.19596833773087 1.06964922061656 0.361751095322389 0.359578046164257 0.0228862043213703 0.963635164250799 0.020478354483799 0.00542487577306865 0 64.1061579955561 64.1061579955561 0 0.458001089347346 "S&I" 0.714285714285325 -0.121601352376359 0.257142857142668 -0.0843564074433306 -1.08571428571446 -0.0470175872127579 105 6 758
"7" 3 1 1979 12 -3.2603305785124 -0.0874228033097073 0.217489006328659 10.085498474229 1.10327529224719 -0.326985777563899 -1.03308833589582 0.863774310695518 0.442912508436926 0.0160198052088416 0.00621868122403523 0.0579514556715241 0.442912508436926 0.00498037500632357 0.0089626685447447 -0.0138735025232284 11 2 1.5828981530343 0.813459633413118 0.439289804590831 0.709372018210714 1.26476730404992 0.96896265460193 0.0174248862990768 0.0142235991897255 2.71601198726433 28.4490397625617 7.16839722594418 21.2806425366175 0 "S&I" -3 -0.306003405543084 -3 -0.199965551716931 -3 -0.0923743593926901 105 6 758
"8" 3 2 1980 2 0.703296703296702 -0.122504162096157 4.7706184251574 3.2534880867571 1.34932435984785 -1.64266955526326 -0.703341981465953 1.18125032357923 0.481020438202437 0.01851784463083 0.155823903947329 0.0499534339706746 0.481020438202437 0.00560133111964374 0.0100126697015012 -0.0104246022981015 26 6 23.6745118733509 0.723177445804322 0.165448154197105 0.214807014155489 0.0636080879038112 0.996452009860318 0.0101964007391769 0.00037668135483771 0.0722835818161494 177.388543084218 106.638868093644 70.749674990574 0 "S&I" 1.71428571428572 -0.0189798867079428 1.04285714285714 0.113154922003477 0.221428571428572 0.074278816497926 105 6 758
"9" 3 3 1980 3 -1.33333333333333 0.165075808756599 2.56391098410118 3.64102448178796 1.75918055809012 -0.0189706812388633 -0.505918233082285 1.42168883358479 0.452531715576158 0.070408654397481 0.0275406027459148 0.0132538427531716 0.452531715576158 0.00569121416471885 0.0102196219778716 0.00567067925679054 6 2 1.40861635883905 0.975776623120401 0.493934221219701 0.303898926868921 0.196544885504862 0.987390599074653 0.00922000783546865 0.00269959978561643 0.181754630103163 23.6838077986081 20.8561806164656 2.8276271821425 0 "S&I" 2 0.0642378052817987 1.86666666666667 0.0396794575099285 1.7 -0.0185982478261854 105 6 758
"10" 3 4 1980 4 -1.25955204216074 0.218589787344843 4.48072573230326 8.8233621181136 3.38734450550791 2.81807015018599e-05 -0.758608746770442 2.67867299079721 0.447442728469836 0.0183633503713195 0.0627907645966982 0.00646926476297113 0.447442728469836 0.00569529533450228 0.0102736708117742 0.0123124389214272 23 7 4.9248 0.79727742662757 0.220376137249347 0.572072700561503 0.464469254918769 0.978774045715231 0.014737140763443 0.00618026735218347 1.10844379042522 103.767153085546 84.3146950235878 19.4524580619581 0 "S&I" -0.444444444444444 0.167527868339346 0.766666666666667 0.126925619067476 0.813333333333333 0.112778080175998 105 6 758
