date obs sim event_type event_count hydcase et eq
1979-10-01 0.320523482849604 0.430557468022271 0 0 0 0 0
1979-10-02 0.323145118733509 0.401527202503617 0 0 0 0 0
1979-10-03 0.313570448548813 0.375278091677506 0 0 2 2 -0.314427175404278
1979-10-04 0.309011081794195 0.351495019476008 0 0 -1 1.9 -0.25857094019789
1979-10-05 0.301488126649077 0.330273943833288 0 0 -1 1.8 -0.197892938069062
1979-10-06 0.303311873350924 0.311924337355172 0 0 -1 1.7 -0.127571402095353
1979-10-07 0.305249604221636 0.296151516795112 0 0 -1 1.6 -0.0809459281348502
1979-10-08 0.290317678100264 0.282422404588557 0 0 -1 1.5 -0.0461684851809512
1979-10-09 0.284960422163588 0.270243842054538 0 0 -1 1.4 -0.0149037723507254
1979-10-10 0.277551451187335 0.259241651968194 0 0 -1 1.3 0.0146528675497836
1979-10-11 0.268888654353562 0.249161921025131 0 0 -1 1.2 0.040793361590859
1979-10-12 0.274131926121372 0.239857729704733 0 0 -1 1.1 0.0688774582446717
1979-10-13 0.264557255936676 0.250123512007682 0 0 -2 1 0.0979333562048531
1979-10-14 0.273562005277045 0.259532787135132 0 0 1 0.599999999999999 0.258093325004099
1979-10-15 0.440206860158311 0.278824750046711 0 0 1 0.199999999999998 0.353177810760847
1979-10-16 0.428238522427441 0.303046271258979 0 0 1 -0.200000000000003 0.318111330432601
1979-10-17 0.435077572559367 0.322663148948367 0 0 1 -0.600000000000002 0.300773658000792
1979-10-18 0.455024802110818 0.334538283815025 0 0 2 -1 0.292300389517201
1979-10-19 0.413990501319261 0.33898073781173 0 0 -1 -1.66666666666667 0.202437244265911
1979-10-20 0.354718733509235 0.337661780726391 0 0 -1 -2.33333333333333 0.115901395799377
1979-10-21 0.31414036939314 0.332274229235563 0 0 -1 -3 0.0326928441175993
1979-10-22 0.316420052770449 0.324197929306883 0 0 -1 -3.66666666666667 0.0774623618202493
1979-10-23 0.298182585751979 0.314522515170559 0 0 -1 -4.33333333333333 0.0916000565887718
1979-10-24 0.279945118733509 0.30403540724174 0 0 -1 -5 0.0751059284231666
1979-10-25 0.29841055408971 0.293249325447985 0 0 -1 -5.66666666666667 0.144060931597474
1979-10-26 0.287582058047493 0.282459156662557 0 0 -1 -6.33333333333333 0.133870801888721
1979-10-27 0.247915567282322 0.273695127968288 0 0 -2 -7 0.0445355392969084
1979-10-28 0.268660686015831 0.266621482175789 0 0 1 -6.63636363636364 0.0827639061331034
1979-10-29 0.277893403693931 0.259680574391919 0 0 1 -6.27272727272727 -0.201503738623551
1979-10-30 0.286214248021108 0.253078675282677 0 0 1 -5.90909090909091 -0.74039081055077
1979-10-31 0.27618364116095 0.247548763533896 0 0 1 -5.54545454545455 -1.18912354915642
1979-11-01 0.265355145118734 0.242395781481714 0 0 1 -5.18181818181818 -1.42269149878445
1979-11-02 0.276069656992084 0.237300093583574 0 0 1 -4.81818181818182 -1.49779251313758
1979-11-03 0.324854881266491 0.237115017938177 0 0 1 -4.45454545454545 -1.58625074912707
1979-11-04 0.27618364116095 0.243798996942646 0 0 1 -4.09090909090909 -1.67804569990509
1979-11-05 0.329072295514512 0.632320952203536 0 0 1 -3.72727272727273 -1.61936851138228
1979-11-06 0.809971503957784 1.54489567726068 11 1 1 -3.36363636363636 -1.10566575245026
1979-11-07 6.12699102902375 2.03828913039742 11 1 2 -3 0.309372006865703
1979-11-08 5.62637255936675 3.46805230358442 11 1 -1 -2.94736842105263 0.255063942415139
1979-11-09 4.27235461741425 3.75047594165485 11 1 -1 -2.89473684210527 0.101724420283906
1979-11-10 3.25174036939314 4.48540231567492 11 1 -1 -2.8421052631579 -0.0777225565396637
1979-11-11 2.51677044854881 4.19122615398549 11 1 -1 -2.78947368421053 -0.247979937333458
1979-11-12 1.94833139841689 3.90799979307625 11 1 -1 -2.73684210526316 -0.426754291559094
1979-11-13 2.28116517150396 3.45119925319848 11 1 -1 -2.68421052631579 -0.189086741459039
1979-11-14 3.25322216358839 3.19285104900555 11 1 -1 -2.63157894736842 0.0730507139745763
1979-11-15 3.37404538258575 3.0490375103513 11 1 -1 -2.57894736842105 0.248988368483833
1979-11-16 3.19007493403694 2.87926669779496 11 1 -1 -2.52631578947368 0.276107441810224
1979-11-17 2.53945329815303 2.6851588677234 11 1 -1 -2.47368421052632 0.150633564705334
1979-11-18 2.06904063324538 2.47455740270755 11 1 -1 -2.42105263157895 0.0440057250666867
1979-11-19 1.69882005277045 2.27185563779254 11 1 -1 -2.36842105263158 -0.0147889782610356
1979-11-20 1.53274511873351 2.09526103502977 0 0 -1 -2.31578947368421 0.000351116211582427
1979-11-21 1.53981213720317 1.87134540091135 0 0 -1 -2.26315789473684 0.0955321655845164
1979-11-22 1.30682849604222 1.64305722265786 0 0 -1 -2.21052631578947 0.079875502540399
1979-11-23 1.19250237467018 1.43406860262648 0 0 -1 -2.1578947368421 0.0960432665561349
1979-11-24 1.06575197889182 1.25135393125915 0 0 -1 -2.10526315789473 0.108145879791596
1979-11-25 0.959290765171504 1.09563887603585 0 0 -1 -2.05263157894737 0.111320229445976
1979-11-26 0.916204749340369 0.966131590515038 0 0 -2 -2 0.118868005220615
1979-11-27 1.07224907651715 0.865109914488526 3 1 1 -3.5 0.159930088198768
1979-11-28 1.5828981530343 0.813407000108789 3 1 2 -5 0.20099217117692
1979-11-29 1.4134036939314 0.826270850716411 3 1 -1 -4.45454545454545 0.148515548429542
1979-11-30 1.33600844327177 0.948394798712564 3 1 -1 -3.90909090909091 0.0960389256821648
1979-12-01 1.2649963060686 1.13825572920449 3 1 -1 -3.36363636363636 0.0583388630257665
1979-12-02 1.21130976253298 1.27052744973791 3 1 -1 -2.81818181818182 0.0649684806423059
1979-12-03 1.20025329815303 1.29380113515606 3 1 -1 -2.27272727272727 0.0715980982588452
1979-12-04 1.13847387862797 1.23629161390667 3 1 -1 -1.72727272727273 0.0707916540583194
1979-12-05 1.06894353562005 1.13930534997843 3 1 -1 -1.18181818181818 0.0625491480407284
1979-12-06 1.01366121372032 1.03054644793457 3 1 -1 -0.636363636363636 0.0543066420231373
1979-12-07 0.971715039577836 0.925947305089541 3 1 -1 -0.0909090909090909 0.0548253679757719
1979-12-08 0.936493931398417 0.838966793876653 0 0 -1 0.454545454545455 0.0582645045851484
1979-12-09 0.892382058047493 0.861731071670118 0 0 -2 1 0.0617036411945249
1979-12-10 1.19911345646438 0.881354080823599 8 1 1 0.777777777777776 0.394784872602091
1979-12-11 2.26543535620053 1.02018016924259 8 1 1 0.555555555555557 0.782710111992038
1979-12-12 2.93509234828496 1.325256668047 8 1 1 0.333333333333329 0.823115687691245
1979-12-13 3.00804221635884 1.88142532153406 8 1 1 0.111111111111114 0.478187875878398
1979-12-14 2.83581213720317 2.53085389256107 8 1 1 -0.111111111111114 0.214548217550575
1979-12-15 4.634254353562 3.02485577502928 8 1 1 -0.333333333333329 0.368333576522621
1979-12-16 5.52891609498681 3.52861470624121 8 1 1 -0.555555555555557 0.301244673867918
1979-12-17 4.66480211081794 4.15445969086322 8 1 1 -0.777777777777776 0.102410272776469
1979-12-18 6.1314364116095 4.68468441380063 8 1 2 -1 0.163399804449307
1979-12-19 5.18878733509235 5.20523173266863 8 1 -1 -0.969696969696972 0.0540584283850418
1979-12-20 4.19176781002639 4.816899055099 8 1 -1 -0.939393939393943 -0.0559983678002442
1979-12-21 3.42157678100264 4.58052003056821 8 1 -1 -0.909090909090914 -0.148015665544171
1979-12-22 2.94147546174143 3.96927635554778 8 1 -1 -0.878787878787886 -0.116100819212271
1979-12-23 2.65526121372032 3.27564728046249 8 1 -1 -0.84848484848485 -0.0696088386144125
1979-12-24 2.26543535620053 2.69748245884154 8 1 -1 -0.818181818181814 -0.0198997469177153
1979-12-25 1.99837044854881 2.24285869825256 8 1 -1 -0.787878787878786 0.0208549202085152
1979-12-26 1.73654881266491 1.8833916296832 8 1 -1 -0.757575757575757 0.0322026280381811
1979-12-27 1.57594511873351 1.65473308368318 8 1 -1 -0.727272727272728 0.0679893464367881
1979-12-28 1.54938680738786 1.44527577137707 8 1 -1 -0.6969696969697 0.151422652741511
1979-12-29 1.58517783641161 1.2862979375349 8 1 -1 -0.666666666666662 0.25021964161159
1979-12-30 1.49843588390501 1.15827278731759 8 1 -1 -0.636363636363629 0.312471850646529
1979-12-31 1.38752928759894 1.04543991606589 8 1 -1 -0.606060606060601 0.339704690228348
1980-01-01 1.27685065963061 0.945039593262653 8 1 -1 -0.575757575757582 0.357699267587967
1980-01-02 1.19090659630607 0.85517644732002 8 1 -1 -0.545454545454551 0.370249533844097
1980-01-03 1.14383113456464 0.774854804518821 8 1 -1 -0.515151515151514 0.369663121865688
1980-01-04 1.08763693931398 0.815862220453806 0 0 -1 -0.484848484848486 0.332237745561635
1980-01-05 1.23228284960422 0.803071360691191 10 1 -1 -0.454545454545457 0.475465912354898
1980-01-06 1.59007915567282 0.789995499230053 10 1 -1 -0.424242424242428 0.60901112103473
1980-01-07 1.4473709762533 0.764694454707988 10 1 -1 -0.3939393939394 0.630310396222029
1980-01-08 1.39402638522427 0.73341479810321 10 1 -1 -0.363636363636371 0.637994790110175
1980-01-09 1.35185224274406 0.701605630337609 10 1 -1 -0.333333333333338 0.646989139815266
1980-01-10 1.30774036939314 0.669599829728689 10 1 -1 -0.3030303030303 0.658417765919757
1980-01-11 1.25302796833773 0.636645102911219 10 1 -1 -0.272727272727261 0.660841804520632
1980-01-12 1.17437889182058 0.602666001144311 10 1 -1 -0.242424242424235 0.656342808794992
1980-01-13 1.09789551451187 0.568228849935476 10 1 -1 -0.212121212121214 0.644080886681955
1980-01-14 1.00716411609499 0.53413464519752 10 1 -1 -0.181818181818186 0.616085044047249
1980-01-15 0.882693403693931 0.501135496426462 10 1 -1 -0.15151515151515 0.593828417975437
1980-01-16 0.8547672823219 0.469810682837029 10 1 -1 -0.121212121212117 0.583394925549292
1980-01-17 0.804500263852243 0.440541194935535 0 0 -1 -0.0909090909090985 0.595355782380152
1980-01-18 0.804500263852243 0.413530868992708 0 0 -1 -0.0606060606060626 0.604772728966261
1980-01-19 0.704764116094987 0.388844132938025 0 0 -1 -0.0303030303030285 0.600962260593671
1980-01-20 0.666123482849604 0.366445117192092 0 0 -2 0 0.580452215272498
1980-01-21 0.679345646437995 0.445612047557828 0 0 1 0.2 0.474317219548639
1980-01-22 0.772812664907652 0.67635512768948 0 0 1 0.4 0.294434669567319
1980-01-23 0.867533509234828 1.35592248513478 0 0 1 0.6 0.0380549533374237
1980-01-24 1.20025329815303 2.56501839060719 8 2 1 0.8 -0.165286317053709
1980-01-25 2.43071240105541 2.24219530891004 8 2 2 1 -0.0537683054402867
1980-01-26 1.71865329815303 1.92466835670186 8 2 -1 1 -0.160726047979353
1980-01-27 1.47028179419525 1.73771194421242 8 2 -1 1 -0.26768379051842
1980-01-28 1.3761308707124 1.64281530951072 8 2 -1 1 -0.235825860078609
1980-01-29 1.33874406332454 1.7348041169151 0 0 -2 1 -0.203967929638798
1980-01-30 1.38126015831135 2.51164151457774 0 0 1 0.714285714285713 -0.283857220826964
1980-01-31 3.46774036939314 3.200755799832 3 2 1 0.428571428571438 0.1892069257398
1980-02-01 7.99370976253298 4.52248152905155 3 2 1 0.14285714285714 0.564286675580439
1980-02-02 5.56767071240106 7.41275191266004 3 2 1 -0.14285714285714 -0.323665339647223
1980-02-03 5.67424591029024 10.5014544277779 3 2 1 -0.428571428571438 -0.661212409013527
1980-02-04 14.0852517150396 13.1647826072217 3 2 1 -0.714285714285713 -0.00196664640723523
1980-02-05 23.6745118733509 14.5341151142363 3 2 2 -1 0.295023916582211
1980-02-06 20.801198944591 17.5878239172188 3 2 -1 -1.11904761904762 0.320887152666705
1980-02-07 11.4054839050132 14.0180226624588 3 2 -1 -1.23809523809523 0.00640180062744957
1980-02-08 8.03428812664908 13.939921762431 3 2 -1 -1.35714285714286 -0.0592680940510492
1980-02-09 6.23311029023747 9.29928706741235 3 2 -1 -1.47619047619046 -0.0552007041871385
1980-02-10 5.20930448548813 7.36906025017049 3 2 -1 -1.5952380952381 0.0159297223520096
1980-02-11 4.62137414248021 5.86314368384731 3 2 -1 -1.71428571428572 0.145729729242448
1980-02-12 4.13534564643799 4.65969191682813 3 2 -1 -1.83333333333333 0.272106268251996
1980-02-13 3.75532242744063 3.73146858270925 3 2 -1 -1.95238095238094 0.385915008728031
1980-02-14 3.43012559366755 3.02783080560537 3 2 -1 -2.07142857142856 0.478963422627339
1980-02-15 3.04029973614776 2.50674307935374 3 2 -1 -2.1904761904762 0.533965152076168
1980-02-16 2.74325699208443 2.12130567730328 3 2 -1 -2.3095238095238 0.596684672452146
1980-02-17 2.57433245382586 1.81360705881146 3 2 -1 -2.42857142857143 0.667460199057554
1980-02-18 2.34784591029024 1.5611735551597 3 2 -1 -2.54761904761904 0.718257563842466
1980-02-19 2.08625224274406 1.35387754541432 3 2 -1 -2.66666666666666 0.737470293953825
1980-02-20 1.89099736147757 1.1823605648827 3 2 -1 -2.78571428571429 0.767186348883529
