"date" "Qobs" "Qsim1" "Qsim2" "Qsim3" "Qsim4" "Qsim5"
"3653" 1979-10-01 0.320523482849604 0.508380446402347 0.430557468022271 0.500567342419038 0.479615830890941 0.456601630153089
"3654" 1979-10-02 0.323145118733509 0.481406260371136 0.401527202503617 0.472833497127419 0.452483820886627 0.429130494283064
"3655" 1979-10-03 0.313570448548813 0.457543311602223 0.375278091677506 0.447327720738492 0.427907497681527 0.403883281341792
"3656" 1979-10-04 0.309011081794195 0.436157445692604 0.351495019476008 0.423903558307984 0.405536282968575 0.380809477857296
"3657" 1979-10-05 0.301488126649077 0.417198174696727 0.330273943833288 0.40278841472276 0.385957698497189 0.36060358319197
"3658" 1979-10-06 0.303311873350924 0.400841305409404 0.311924337355172 0.385142633937108 0.369563617310933 0.345499438524555
"3659" 1979-10-07 0.305249604221636 0.386628569346296 0.296151516795112 0.371349592541356 0.357277477283967 0.334504153797831
"3660" 1979-10-08 0.290317678100264 0.373868999558852 0.282422404588557 0.357578427210138 0.344257722533314 0.321856260774626
"3661" 1979-10-09 0.284960422163588 0.36206245635861 0.270243842054538 0.344342200451387 0.332083919963687 0.309775798216158
"3662" 1979-10-10 0.277551451187335 0.35093858268008 0.259241651968194 0.331739381024179 0.320415926076975 0.29830858343072
"3663" 1979-10-11 0.268888654353562 0.340390436830191 0.249161921025131 0.31990662151595 0.309408144543671 0.287605840869189
"3664" 1979-10-12 0.274131926121372 0.330400896359953 0.239857729704733 0.308888506354674 0.299082381424181 0.277659609946206
"3665" 1979-10-13 0.264557255936676 0.331341554645516 0.250123512007682 0.304433895284919 0.30366800880601 0.279401082847066
"3666" 1979-10-14 0.273562005277045 0.337559704409968 0.259532787135132 0.315340826242508 0.32966472133771 0.315336741532996
"3667" 1979-10-15 0.440206860158311 0.355284984609706 0.278824750046711 0.328792410686232 0.384561532063724 0.340225488909465
"3668" 1979-10-16 0.428238522427441 0.378582093930632 0.303046271258979 0.35946095285727 0.413831174049849 0.402461366355008
"3669" 1979-10-17 0.435077572559367 0.400754683365123 0.322663148948367 0.385660352867676 0.458161074949667 0.423314617634662
"3670" 1979-10-18 0.455024802110818 0.414474857743929 0.334538283815025 0.393962065000428 0.455552341688702 0.422392002924002
"3671" 1979-10-19 0.413990501319261 0.417924343446045 0.33898073781173 0.394611777655669 0.423477480103209 0.411378158800956
"3672" 1979-10-20 0.354718733509235 0.413227578494791 0.337661780726391 0.387470160656847 0.407529816080598 0.391787030452508
"3673" 1979-10-21 0.31414036939314 0.403598569629728 0.332274229235563 0.377573230541425 0.389550067751303 0.375858948302341
"3674" 1979-10-22 0.316420052770449 0.391796077012274 0.324197929306883 0.367106134590916 0.373846288350608 0.362238205280214
"3675" 1979-10-23 0.298182585751979 0.379721517361045 0.314522515170559 0.356867068332776 0.359803800400691 0.350038342000221
"3676" 1979-10-24 0.279945118733509 0.368408998314847 0.30403540724174 0.347224559167436 0.347746214040942 0.338824493797065
"3677" 1979-10-25 0.29841055408971 0.358185205617452 0.293249325447985 0.338042018413198 0.336150637247454 0.327656526720401
"3678" 1979-10-26 0.287582058047493 0.34896684415243 0.282459156662557 0.328970650461115 0.325301506008524 0.316323029744863
"3679" 1979-10-27 0.247915567282322 0.341505046031269 0.273695127968288 0.321061146915503 0.316720199131654 0.30675280379014
"3680" 1979-10-28 0.268660686015831 0.335886686794453 0.266621482175789 0.315790260538935 0.31173172365686 0.301256641879045
"3681" 1979-10-29 0.277893403693931 0.331276613674063 0.259680574391919 0.309919939173751 0.308556433539426 0.295039419632175
"3682" 1979-10-30 0.286214248021108 0.326769279869406 0.253078675282677 0.304695615424512 0.302747829249941 0.288779508661981
"3683" 1979-10-31 0.27618364116095 0.322541732381229 0.247548763533896 0.299984297979908 0.297675073901989 0.283442753358358
"3684" 1979-11-01 0.265355145118734 0.318482486723812 0.242395781481714 0.295299703572015 0.294098558766028 0.27872655777083
"3685" 1979-11-02 0.276069656992084 0.314234632985271 0.237300093583574 0.290578046810962 0.289806799673461 0.274172672812402
"3686" 1979-11-03 0.324854881266491 0.312348494509566 0.237115017938177 0.288651719168588 0.289431333552375 0.273851888600764
"3687" 1979-11-04 0.27618364116095 0.315585448303459 0.243798996942646 0.292453373386214 0.298611632773573 0.284708190793214
"3688" 1979-11-05 0.329072295514512 0.588192272420377 0.632320952203536 0.751377976726214 0.882358824210905 0.855100552092831
"3689" 1979-11-06 0.809971503957784 1.04855076191644 1.54489567726068 2.70751010207343 2.99802333032765 3.52983014179335
"3690" 1979-11-07 6.12699102902375 1.44924102064395 2.03828913039742 2.0740207187888 3.3068705564479 3.58111927393352
"3691" 1979-11-08 5.62637255936675 2.70637237073733 3.46805230358442 3.96613413934084 4.03509266344705 3.9756869791954
"3692" 1979-11-09 4.27235461741425 3.3367900032266 3.75047594165485 3.45014716545249 3.23524526315016 2.09467742588668
"3693" 1979-11-10 3.25174036939314 3.75805616223791 4.48540231567492 4.05762243766971 3.2377146650612 3.07756065256146
"3694" 1979-11-11 2.51677044854881 3.82702015181687 4.19122615398549 3.88608451915194 3.57664336828283 3.50065958749361
"3695" 1979-11-12 1.94833139841689 3.79413716025044 3.90799979307625 3.44565501315963 3.87012234047492 3.15687754054221
"3696" 1979-11-13 2.28116517150396 3.63913534937745 3.45119925319848 3.28689106496928 3.94530583436106 3.34561323080457
"3697" 1979-11-14 3.25322216358839 3.50517793048636 3.19285104900555 2.80396282019864 3.89281236823058 3.02863170760036
