"ID" "XGAUGE" "YGAUGE" "XCENT" "YCENT" "AREA" "River" "Station" "ME_MAX" "igroup.best" "TRAIN"
"385" 44480552 3942498.37788185 2734108.28849992 4264199.92024 3136586.39791 138 "Erpe" "EHRINGEN" 0.549397112375265 1 TRUE
"250" 24146505 4088307.73027564 2620086.5198832 4413835.12385 3033804.43223 139 "Haßlach" "NEUKENROT" 0.246876670807118 1 TRUE
"215" 17225000 4167468.9574754 2426371.53324199 4482393.66902 2819062.21081 143.21 "Kleine Vils" "Dietelskirchen" 0.428914652223078 1 FALSE
"345" 27823700 3901282.35599023 2751723.49159807 4223887.96117 3151984.77115 143.3 "Alme" "WEINE" 0.717959619178382 1 TRUE
"305" 25890805 3848740.21326597 2616888.62999015 4166874.077 3013100.11344 145.8 "Mühlbach" "SCHULMUEHL" 0.640525882314736 1 FALSE
"365" 41850054 3995816.16825873 2707376.45908408 4309411.79079 3115964.90099 149 "Wehre" "BISCHHAUSEN" 0.743435270281685 1 TRUE
"6" 145 3984766.17071285 2414753.57909889 4293863.28912 2807568.41954 150 "Blau" "BLAUBEUREN" 0.422731805158496 1 TRUE
"25" 3301 3886625.12797607 2473190.74576546 4206712.75276 2860752.94554 150 "Alb" "ETTLINGEN" 0.640468999693894 1 FALSE
"17" 1120 3938687.02269374 2380358.95390506 4251084.76309 2786576.89498 151 "Schmeie" "UNTERSCHMEIEN" 0.755956322912482 1 TRUE
"40" 422300 4035940.63698358 2651155.80738164 4362992.08857 3062416.68209 151 "Schwarza" "SCHWARZA" 0.670194621969785 1 FALSE
"266" 24761050 3918551.44058747 2564749.9118554 4237356.79086 2958806.47933 151 "Gersprenz" "GROSS BIEBERAU" 0.773281710955572 1 TRUE
"230" 18801005 4183902.19256775 2414866.06460598 4502500.55274 2808731.86428 152.15 "Rott" "Kinning" 0.656096415688136 1 TRUE
"41" 424000 4026989.61697468 2662290.32884873 4355393.34359 3070400.16698 153 "Schmalkalde" "MITTELSCHMALKALDEN" 0.58335290403352 1 FALSE
"30" 47840 3965420.7747924 2388322.03108976 4289867.34289 2775014.35428 154 "Kanzach" "UNLINGEN" 0.662863916269067 1 FALSE
"164" 6343535 4191592.01933944 2354347.71333666 4518361.11365 2738661.36866 154.07 "Weißer Traun" "SIEGSDORF" 0.629220072811036 1 FALSE
"76" 572890 4069326.70460353 2660689.00748018 4386138.47983 3059859.01805 155 "Ilm" "GRAEFINAU-ANGSTEDT" 0.681913779737745 1 TRUE
"26" 4421 3938662.90475039 2515417.45727306 4262128.59212 2925620.57046 156 "Elz" "MOSBACH" 0.682695500394594 1 FALSE
"342" 27688970 3826410.58206026 2732934.2542261 4138888.25133 3132162.14959 156 "Ennepe" "HAGEN-HASPE" 0.74856442825415 1 FALSE
"12" 422 3947598.21958871 2430824.21162553 4276848.87369 2820286.32504 160 "Erms" "RIEDERICH" 0.261055261871082 1 FALSE
"47" 444210 4042785.97560088 2799997.44300392 4368723.08199 3199663.45587 160 "Ilse" "BUEHNE-HOPPENSTEDT" 0.687153362022197 1 FALSE
