date obs sim event_type event_count hydcase et eq
1979-10-01 0.320523482849604 0.467101542944756 0 0 0 0 0
1979-10-02 0.323145118733509 0.448408645112205 0 0 0 0 0
1979-10-03 0.313570448548813 0.430866200527283 0 0 2 2 -0.393330607653055
1979-10-04 0.309011081794195 0.414481447467788 0 0 -1 1.58333333333333 -0.354978454701949
1979-10-05 0.301488126649077 0.399216173382066 0 0 -1 1.16666666666667 -0.312053742780243
1979-10-06 0.303311873350924 0.38501179744088 0 0 -1 0.750000000000001 -0.265812855923602
1979-10-07 0.305249604221636 0.371792116222344 0 0 -1 0.333333333333334 -0.219033512007892
1979-10-08 0.290317678100264 0.359478778624458 0 0 -1 -0.0833333333333324 -0.199684851415963
1979-10-09 0.284960422163588 0.347995334879948 0 0 -1 -0.499999999999999 -0.186000908922263
1979-10-10 0.277551451187335 0.337269516115306 0 0 -1 -0.916666666666667 -0.167228564143953
1979-10-11 0.268888654353562 0.327234360825456 0 0 -1 -1.33333333333333 -0.142379652190385
1979-10-12 0.274131926121372 0.317828637485164 0 0 -1 -1.75 -0.119844156358635
1979-10-13 0.264557255936676 0.309242242841351 0 0 -1 -2.16666666666667 -0.0826968009448506
1979-10-14 0.273562005277045 0.30118047802135 0 0 -1 -2.58333333333333 0.0819941784693335
1979-10-15 0.440206860158311 0.294261088180896 0 0 -1 -3 0.29117145321339
1979-10-16 0.428238522427441 0.288419418598459 0 0 -1 -3.41666666666667 0.461809877118744
1979-10-17 0.435077572559367 0.283076785602499 0 0 -1 -3.83333333333333 0.495468763681339
1979-10-18 0.455024802110818 0.277790879075475 0 0 -1 -4.25 0.515190861495668
1979-10-19 0.413990501319261 0.272604239408314 0 0 -1 -4.66666666666667 0.475615920650614
1979-10-20 0.354718733509235 0.26754057401196 0 0 -1 -5.08333333333333 0.373707369075276
1979-10-21 0.31414036939314 0.262614575001834 0 0 -1 -5.5 0.308359448688476
1979-10-22 0.316420052770449 0.257836113224271 0 0 -1 -5.91666666666667 0.281639672069609
1979-10-23 0.298182585751979 0.253211935748216 0 0 -1 -6.33333333333333 0.271559319901392
1979-10-24 0.279945118733509 0.248746108827094 0 0 -1 -6.75 0.24707993324554
1979-10-25 0.29841055408971 0.244440444936795 0 0 -1 -7.16666666666667 0.277018462463847
1979-10-26 0.287582058047493 0.240294810078067 0 0 -1 -7.58333333333333 0.262192225429965
1979-10-27 0.247915567282322 0.236309728438634 0 0 -2 -8 0.166757776645766
1979-10-28 0.268660686015831 0.232481753047024 0 0 1 -7.54545454545454 -0.61052319291801
1979-10-29 0.277893403693931 0.228806634698862 0 0 1 -7.09090909090909 -1.00999378334303
1979-10-30 0.286214248021108 0.225279470242958 0 0 1 -6.63636363636364 -1.41448771454995
