"date" "Env_prec" "Env_temp" "Env_pet" "PAR_swe" "PAR_sm" "PAR_aet" "PAR_sm_perc" "PAR_lf_s" "PAR_lf_q" "PAR_gw_s" "PAR_gwr" "PAR_gw2gw" "PAR_gw2r" "PAR_river_s"
"3653" 1979-10-01 0 16.4358741090976 3.15501159050657 0 -2.70815631788536 1.88458677814858 0.823569539736772 -0.175570799605733 0.00474231703144978 0.00710947082117841 0.833657915617694 0.00840370885448614 0.0203390014365204 -0.002974901633809
"3654" 1979-10-02 0 18.2975421211211 3.49013884717047 0 -2.86439228347806 2.06512104044829 0.799271243029779 -0.15069596595217 0.00410703322771751 -0.0167026361779256 0.809812797123093 0.00840456545373568 0.0203347373645454 -0.00267779645233486
"3655" 1979-10-03 0.100000001490116 21.2719564159831 3.8313896055136 0 -2.92895343804919 2.24104107173932 0.774636369243701 -0.119003398041682 0.00364530944989418 -0.0406679129978694 0.785690952717053 0.00840391992788016 0.0203277671658285 -0.00240714569683353
"3656" 1979-10-04 0.0173395869633614 22.2135161001167 3.08988365623303 0 -2.52434131869392 1.78588014715944 0.753432409844237 -0.113831161597208 0.00322789924004276 -0.0618201729502452 0.764271040776509 0.00840177058553828 0.0203185402824378 -0.00215807864783015
"3657" 1979-10-05 0.47963120900987 21.625093684759 2.75659554157828 0 -1.90778962027741 1.58450215289243 0.738918033247591 -0.0482128556218552 0.00317082563021097 -0.0770580038884559 0.748691000575505 0.00839903995110507 0.0203076415943948 -0.00172786519841489
"3658" 1979-10-06 0.537227595898072 20.9042155315581 2.48800495047329 0 -1.69190254277253 1.41271550690888 0.725009797105413 -0.0273425576157762 0.00319691680333731 -0.0926943642016671 0.732630138538193 0.00839530227040024 0.0202949676933395 -0.00121476112863962
"3659" 1979-10-07 0.55530354857906 20.7123385404143 3.21709831431053 0 -2.03073035990949 1.81116181795372 0.709296230578665 -0.0470575161192762 0.00296335743867045 -0.108636365541731 0.716183922459861 0.00839068809226257 0.020280224187773 -0.00107652395981868
"3660" 1979-10-08 0.0962540965399879 22.8436999497263 3.67256767785303 0 -2.64019132749506 2.03724377164371 0.688086900229144 -0.087135720121121 0.00263806635404952 -0.127760482294325 0.696459712058137 0.00838496290717405 0.0202631797162551 -0.00107033465295488
"3661" 1979-10-09 0.0310415369557856 24.5485405794196 4.15551659688842 0 -2.91839090980612 2.28112951834409 0.665032374687853 -0.0832782440680925 0.00235925654864953 -0.148637919490559 0.674876775217639 0.00837802135392129 0.020243681194548 -0.00106090759254359
"3662" 1979-10-10 0.0058453498711127 24.157750910889 3.57251902096562 0 -2.57698075140445 1.93755493243668 0.644559183072868 -0.0761919609912705 0.00211940523881504 -0.167830349512975 0.654879510054616 0.00836976687534596 0.0202220863113294 -0.00103996361799648
"3663" 1979-10-11 0.00063048230864849 23.0741914539117 3.42548086629519 0 -2.46699728857899 1.84211455311209 0.625444926809161 -0.068863617114465 0.00191829320832902 -0.185944405882984 0.63586645543301 0.00836038751722009 0.0201985226987687 -0.00100414024852368
"3664" 1979-10-12 0.100384175677049 23.7751872385779 3.16908220201015 0 -2.19480961813581 1.67785570954604 0.608314123360607 -0.0538261643684949 0.0017676585431865 -0.202536640998579 0.618288319809985 0.00834992120766304 0.0201732015975947 -0.000958511080970447
"3665" 1979-10-13 12.5663370189165 22.6092190697204 2.4174507002098 0 8.92543721641722 1.32157287548327 0.674126269159604 1.17546236415794 0.0158694293871592 -0.152645676615047 0.667405515792909 0.00833850489159675 0.0201563112741846 -0.000898591500579752
"3666" 1979-10-14 7.7566609776074 20.4717647386827 2.14784946770972 0 4.7269495517946 1.20847218360346 0.718216093434137 0.53353623185011 0.019185696409442 -0.112879246539059 0.706595486085975 0.00833171649302271 0.0201440029888161 0.00469858427790229
"3667" 1979-10-15 9.26928128928968 20.5870963742431 2.50816745874761 0 5.71627868153178 1.45640223615551 0.759978640145613 0.518356138898276 0.0262497485831799 -0.0756123569286748 0.743469085842314 0.0083268246827215 0.0201362823291046 0.00293232509561808
"3668" 1979-10-16 8.10946913522351 19.2487573708163 2.05433587422292 0 4.91508941581815 1.21065247961526 0.80331302501474 0.260433665746528 0.029291220611143 -0.0357713001321346 0.783126738031104 0.0083249397045658 0.0201327036121138 0.00548604258961639
"3669" 1979-10-17 4.0664427484808 18.013374810458 1.89050959258928 0 1.50102184919919 1.12860770833952 0.816046515960432 -0.131578712802152 0.0221855107255778 -0.0183989737537165 0.800425195219003 0.00832565121060332 0.0201299800106046 0.00456836200226644
"3670" 1979-10-18 1.25983061498178 12.9092896382944 2.20620993449555 0 -1.04096975076959 1.30665214058293 0.807075883673971 -0.341364481235947 0.0146736152367622 -0.0192298041491539 0.799536011950934 0.00832688422484445 0.0201262625329925 0.000525402417593521
"3671" 1979-10-19 0.388785615937253 11.2803256239842 2.64053805888747 0 -2.00295617223252 1.5490863919667 0.7905113290186 -0.328566782703254 0.010706774348884 -0.0290888018571959 0.789579514112921 0.00832779702138127 0.0201208744153757 -0.000934540662373589
"3672" 1979-10-20 0.0531300486988267 14.4544327274805 2.85854926249905 0 -2.38568890777086 1.66170055165271 0.770465030127082 -0.285433194878039 0.00829065186167169 -0.0441244114189077 0.774375017585306 0.00832788609634647 0.0201135240002892 -0.00163533271261159
"3673" 1979-10-21 0.0150775456304013 13.5405657660606 2.03028008453962 0 -1.91623006231902 1.17493975602518 0.754220827969861 -0.232304253502498 0.00669799042466924 -0.0580888144868838 0.760170166881919 0.00832693673389491 0.0201046277316629 -0.00183462960788463
